samian_id,samian_label,samian_alt_labels,samian_lat,samian_lon,samian_earliest_year,samian_latest_year,samian_q_interval,samian_unc_start_years,samian_unc_end_years,pleiades_id,pleiades_uri,pleiades_label,pleiades_alt_labels,pleiades_lat,pleiades_lon,pleiades_earliest_year,pleiades_latest_year,pleiades_location_precision,pleiades_max_accuracy_m,distance_km,distance_eff_km,geo_score,geo_factor,string_score,string_mode,time_score,w_geo,w_str,w_time,geo_contrib,string_contrib,time_contrib,final_score,geo_rel,string_rel,time_rel,rank,confidence,samian_q_start,samian_q_end,samian_unc_interval_years
13,Baden-Baden,Aquae,48.7598,8.239792,68,94,0.545,9,13,108748,https://pleiades.stoa.org/places/108748,Aquae,Aquae,48.759799,8.239789,-30.0,300.0,precise,10.0,0.0002464195883913214,0.0,1.0,1.0,0.97,alt-label,0.545,0.25,0.65,0.1,0.25,0.6305,0.05450000000000001,0.9349999999999999,0.26737967914438504,0.674331550802139,0.05828877005347595,1,high,,,
130,Housesteads,,55.016666,-2.333333,161,195,0.529,15,16,89311,https://pleiades.stoa.org/places/89311,*Vercovicium,Housesteads|Housesteads Roman fort|Vercouicium,55.01331059875913,-2.3302702102961725,,,precise,20.0,0.42111327200548104,0.401113272005481,0.9801441134381287,0.9801441134381287,0.97,label-alt,0.0,0.25,0.65,0.1,0.24503602835953217,0.6305,0.0,0.8755360283595321,0.27986972599933946,0.7201302740006605,0.0,1,high,,,
131,Hüfingen,,47.916671,8.483333,56,82,0.5,15,10,187326,https://pleiades.stoa.org/places/187326,*Brigobannis,Brigobannis,47.919511107105414,8.480043796098752,,,precise,20.0,0.3997704229094601,0.37977042290946006,0.9811906251226125,0.34341671879291435,0.15,label-label,0.0,0.25,0.65,0.1,0.08585417969822859,0.0975,0.0,0.1833541796982286,0.46824228299311593,0.531757717006884,0.0,1,low,,,
132,Ilkley,,53.916667,-1.816666,131,161,0.13,41,45,89205,https://pleiades.stoa.org/places/89205,Ilkley (Verbeia?),,53.92665545004785,-1.824171675856724,,,precise,5.0,1.2145523822008335,1.2095523822008336,0.9413148362464193,0.8001176108094565,0.65,label-label,0.0,0.25,0.65,0.1,0.20002940270236413,0.42250000000000004,0.0,0.6225294027023642,0.3213171969613773,0.6786828030386226,0.0,1,medium,,,
133,Inchtuthil,,56.541347,-3.422952,64,94,0.692,5,10,89206,https://pleiades.stoa.org/places/89206,Victoria?,,56.5334205,-3.4115965,-30.0,300.0,precise,10000.0,1.1232012574573869,0.0,1.0,0.35,0.15,label-label,0.692,0.25,0.65,0.1,0.0875,0.0975,0.0692,0.2542,0.34421715184893786,0.38355625491738793,0.27222659323367426,1,low,,,
134,Inveravon,,52.867542,0.491559,155,185,0.5,0,0,709260452,https://pleiades.stoa.org/places/709260452,Thornham Roman Signal Station,,52.95192,0.568174,43.0,410.0,precise,5.0,10.696996162229453,10.691996162229453,0.5859037171488334,0.20506630100209167,0.15,label-label,0.5,0.25,0.65,0.1,0.05126657525052292,0.0975,0.05,0.19876657525052294,0.2579235225334398,0.49052512917281094,0.2515513482937492,1,low,,,
135,Inveresk,,55.936565,-3.056639,133,164,0.618,9,12,89207,https://pleiades.stoa.org/places/89207,Inveresk,,55.93716209466626,-3.054622908248247,,,precise,5.0,0.1420371609457881,0.1370371609457881,0.9931715624103148,0.9931715624103148,1.0,label-label,0.0,0.25,0.65,0.1,0.2482928906025787,0.65,0.0,0.8982928906025787,0.2764052718217805,0.7235947281782196,0.0,1,high,,,
136,Iža,,47.75,18.233333,156,186,0.72,5,8,197155,https://pleiades.stoa.org/places/197155,‘Azao’,Azao,47.727941,18.257768,-30.0,640.0,precise,10.0,3.0586433987434574,3.0486433987434576,0.8586171320352365,0.1717234264070473,0.0,alt-alt,0.72,0.25,0.65,0.1,0.042930856601761824,0.0,0.072,0.11493085660176182,0.3735363841454543,0.0,0.6264636158545457,1,low,,,
137,Jagsthausen,,49.310942,9.469169,151,189,0.484,14,24,118769,https://pleiades.stoa.org/places/118769,Jagsthausen,,49.3107445,9.469357500000001,-30.0,300.0,precise,10.0,0.025865482130369738,0.015865482130369736,0.999207040452203,0.999207040452203,1.0,label-label,0.484,0.25,0.65,0.1,0.24980176011305075,0.65,0.0484,0.9482017601130508,0.26344789750576686,0.6855081137188596,0.05104398877537354,1,high,,,
138,Kapersburg,,50.313041,8.635664,40,65,0.5,0,0,109074,https://pleiades.stoa.org/places/109074,Kapersburg,Kapersburg|Kastell Kapersburg,50.31301504808457,8.635684199754634,,,precise,20.0,0.0032225418627441745,0.0,1.0,1.0,1.0,label-label,0.0,0.25,0.65,0.1,0.25,0.65,0.0,0.9,0.2777777777777778,0.7222222222222222,0.0,1,high,,,
139,Kempten,,47.72674,10.31389,153,189,0.666,8,12,187335,https://pleiades.stoa.org/places/187335,Cambodunum (Raetia),Cambodunum|Cambodvno|Kempten,47.727498,10.326578,-330.0,640.0,precise,10.0,0.9527566083788414,0.9427566083788413,0.9539559043867437,0.9539559043867437,0.97,label-alt,0.666,0.25,0.65,0.1,0.23848897609668593,0.6305,0.0666,0.9355889760966859,0.25490785183432935,0.6739070426315525,0.07118510553411801,1,high,,,
14,Bagendon,,51.753227,-1.976233,15,35,0.5,0,0,79319,https://pleiades.stoa.org/places/79319,Barton Farm,,51.723317,-2.028822,-30.0,640.0,precise,10000.0,4.916723145987709,0.0,1.0,0.35,0.15,label-label,0.5,0.25,0.65,0.1,0.0875,0.0975,0.05,0.235,0.3723404255319149,0.41489361702127664,0.21276595744680854,1,low,,,
140,Komárom,,47.733333,18.166666,156,194,0.471,14,25,197180,https://pleiades.stoa.org/places/197180,Brigetio,Brigetio,47.735239,18.169507,-30.0,640.0,precise,10.0,0.30010068972609283,0.2901006897260928,0.9855996567319182,0.3449598798561713,0.15,label-label,0.471,0.25,0.65,0.1,0.08623996996404283,0.0975,0.0471,0.23083996996404285,0.3735920169175041,0.4223705280120563,0.20403745507043952,1,low,,,
141,Köngen,Grinario,48.683334,9.366666,147,187,0.308,30,37,118706,https://pleiades.stoa.org/places/118706,*Grinario,Grinario|Grinarione,48.67726312416167,9.360161772911495,-30.0,300.0,precise,20.0,0.8268765359533831,0.806876535953383,0.9604591507804755,0.9604591507804755,0.97,alt-label,0.308,0.25,0.65,0.1,0.24011478769511888,0.6305,0.0308,0.9014147876951188,0.266375469953275,0.6994560202547409,0.03416850979198417,1,high,,,
142,Kösching,,48.816665,11.5,50,80,0.427,21,14,118697,https://pleiades.stoa.org/places/118697,Germanicum,Germanico|Germanicum,48.810891,11.499781,-30.0,300.0,precise,10.0,0.642240620015531,0.6322406200155309,0.9688824055077938,0.33910884192772783,0.15,label-label,0.427,0.25,0.65,0.1,0.08477721048193196,0.0975,0.0427,0.22497721048193198,0.3768257695982965,0.43337722870303913,0.1897970016986643,1,low,,,
143,Künzing,,48.666671,13.08333,140,172,0.051,64,71,118919,https://pleiades.stoa.org/places/118919,Quintana,Castra Quintana|Kastell Kunzing|Kastell Künzing|Kunzing|Künzing|Quintana|Quintanis,48.668964,13.079326,-30.0,640.0,precise,10.0,0.38918851751846306,0.37918851751846305,0.9812191735436402,0.9812191735436402,0.97,label-alt,0.051,0.25,0.65,0.1,0.24530479338591005,0.6305,0.0051,0.88090479338591,0.2784691322237431,0.7157413658479075,0.005789501928349451,1,high,,,
144,La Graufesenque,Condatomagus,44.099998,3.083333,32,60,0.555,12,11,246410,https://pleiades.stoa.org/places/246410,La Graufesenque,La Graufesenque,44.096622,3.092825,-30.0,640.0,precise,4.2,0.8458437222542805,0.8416437222542805,0.958790978030902,0.958790978030902,1.0,label-label,0.555,0.25,0.65,0.1,0.2396977445077255,0.65,0.05550000000000001,0.9451977445077255,0.25359534118711213,0.6876867869998258,0.05871787181306205,1,high,,,
145,Ladenburg,,49.474998,8.606944,55,78,0.456,14,11,118813,https://pleiades.stoa.org/places/118813,Lopodunum,Ladenburg|Lopodunum,49.47416,8.614162,-30.0,640.0,precise,10.0,0.5297807642945231,0.5197807642945231,0.974345770119325,0.974345770119325,0.97,label-alt,0.456,0.25,0.65,0.1,0.24358644252983125,0.6305,0.0456,0.9196864425298311,0.2648581421509106,0.685559741715502,0.04958211613358746,1,high,,,
146,Langenhain,,50.365103,8.644794,200,243,0.889,0,5,109100,https://pleiades.stoa.org/places/109100,Langenhain,,50.365244,8.636999,-30.0,300.0,precise,10.0,0.5531253140897466,0.5431253140897466,0.97320915042783,0.97320915042783,1.0,label-label,0.889,0.25,0.65,0.1,0.2433022876069575,0.65,0.0889,0.9822022876069575,0.24771097632010244,0.6617781369494294,0.09051088673046813,1,high,,,
