samian_id,samian_label,samian_alt_labels,samian_lat,samian_lon,samian_earliest_year,samian_latest_year,samian_q_interval,samian_unc_start_years,samian_unc_end_years,pleiades_id,pleiades_uri,pleiades_label,pleiades_alt_labels,pleiades_lat,pleiades_lon,pleiades_earliest_year,pleiades_latest_year,pleiades_location_precision,pleiades_max_accuracy_m,distance_km,distance_eff_km,geo_score,string_score,time_score,w_geo,w_str,w_time,geo_contrib,string_contrib,time_contrib,final_score,geo_rel,string_rel,time_rel,rank,confidence
44,Butzbach,,50.439681,8.665183,78,110,0.276,25,32,109297,https://pleiades.stoa.org/places/109297,Saalburg Roman Fort,Kastell Saalburg|Römerkastell Saalburg|Saalburg|Saalburg castrum,50.2715322203374,8.566651620566516,,,precise,20.0,19.96130191041881,19.94130191041881,0.368960718137249,0.15,0.0,0.5,0.4,0.1,0.1844803590686245,0.06,0.0,0.2444803590686245,0.7545815122794454,0.24541848772055458,0.0,15,low
44,Butzbach,,50.439681,8.665183,78,110,0.276,25,32,253933600,https://pleiades.stoa.org/places/253933600,Ringwall Rentmauer (Weilrod),,50.34205004845679,8.387449034247412,,,precise,20.0,22.4836744464177,22.463674446417702,0.3252426622048976,0.15,0.0,0.5,0.4,0.1,0.1626213311024488,0.06,0.0,0.2226213311024488,0.7304840479442268,0.26951595205577317,0.0,16,low
44,Butzbach,,50.439681,8.665183,78,110,0.276,25,32,118777,https://pleiades.stoa.org/places/118777,Karben,,50.240281499999995,8.763929999999998,-30.0,640.0,precise,10.0,23.253357055489673,23.24335705548967,0.31280732509118386,0.15,0.036662686567164184,0.5,0.4,0.1,0.15640366254559193,0.06,0.0036662686567164185,0.22006993120230836,0.7106998293274851,0.27264060870197904,0.016659561970535856,17,low
44,Butzbach,,50.439681,8.665183,78,110,0.276,25,32,120050,https://pleiades.stoa.org/places/120050,Untitled,,50.5,8.5,,,rough,0.0,13.478032432125488,13.478032432125488,0.3058295845581232,0.15,0.0,0.5,0.4,0.1,0.1529147922790616,0.06,0.0,0.2129147922790616,0.7181971277911041,0.2818028722088958,0.0,18,low
44,Butzbach,,50.439681,8.665183,78,110,0.276,25,32,108940,https://pleiades.stoa.org/places/108940,Dünsberg,Dünsberg|Ringwallanlage Dünsberg,50.6502828942,8.58025230186,-330.0,640.0,precise,4.2,24.174643985751594,24.170443985751593,0.298638281358094,0.15,0.025323711340206185,0.5,0.4,0.1,0.149319140679047,0.06,0.0025323711340206187,0.2118515118130676,0.7048292429029368,0.28321723780259106,0.011953519294472246,19,low
44,Butzbach,,50.439681,8.665183,78,110,0.276,25,32,118559,https://pleiades.stoa.org/places/118559,Altenstadt,,50.285208999999995,8.941589,-30.0,300.0,precise,10.0,26.066366849263783,26.05636684926378,0.2717647864604315,0.15,0.07443636363636365,0.5,0.4,0.1,0.13588239323021575,0.06,0.007443636363636365,0.20332602959385213,0.6682980703535283,0.2950925669470417,0.03660936269942997,20,low
44,Butzbach,,50.439681,8.665183,78,110,0.276,25,32,118873,https://pleiades.stoa.org/places/118873,Nidderau,,50.23681,8.870497,-30.0,300.0,precise,10.0,26.855090422565063,26.84509042256506,0.26125599695151147,0.15,0.07443636363636365,0.5,0.4,0.1,0.13062799847575574,0.06,0.007443636363636365,0.1980716348393921,0.6594987645842194,0.3029207087054714,0.0375805267103091,21,low
44,Butzbach,,50.439681,8.665183,78,110,0.276,25,32,109038,https://pleiades.stoa.org/places/109038,Heidetränk,Heidetränk,50.224321,8.520362,-330.0,-30.0,precise,4.2,26.059986083598357,26.055786083598356,0.27177267815786404,0.15,0.0,0.5,0.4,0.1,0.13588633907893202,0.06,0.0,0.19588633907893202,0.693699926793654,0.306300073206346,0.0,22,low
44,Butzbach,,50.439681,8.665183,78,110,0.276,25,32,118701,https://pleiades.stoa.org/places/118701,Glauberg,,50.3129935,9.0070073,-330.0,640.0,precise,10.0,28.036089993153663,28.02608999315366,0.2462754880147657,0.15,0.025323711340206185,0.5,0.4,0.1,0.12313774400738285,0.06,0.0025323711340206187,0.18567011514140347,0.6632071290180601,0.3231537824722354,0.013639088509704453,23,low
44,Butzbach,,50.439681,8.665183,78,110,0.276,25,32,436858295,https://pleiades.stoa.org/places/436858295,Kelten-Wall,,50.3103942,9.0064091,,,precise,20.0,28.146514752792125,28.126514752792126,0.24504197964156196,0.15,0.0,0.5,0.4,0.1,0.12252098982078098,0.06,0.0,0.18252098982078097,0.6712706847639028,0.3287293152360972,0.0,24,low
44,Butzbach,,50.439681,8.665183,78,110,0.276,25,32,109367,https://pleiades.stoa.org/places/109367,Taunus (mountain),Taunus,50.2221912,8.461934433333335,1700.0,2100.0,precise,20.0,28.160085235394323,28.140085235394324,0.24487576914077985,0.15,0.0,0.5,0.4,0.1,0.12243788457038993,0.06,0.0,0.18243788457038992,0.6711209399227044,0.32887906007729567,0.0,25,low
45,Cadder,,55.921009,-4.224601,143,177,0.62,10,12,89130,https://pleiades.stoa.org/places/89130,Cadder,,55.921359,-4.213507,-30.0,300.0,precise,10.0,0.6923202871609605,0.6823202871609605,0.9664593749693401,1.0,0.10521212121212122,0.5,0.4,0.1,0.48322968748467005,0.4,0.010521212121212122,0.8937508996058823,0.540676029190863,0.44755199706807364,0.011771973741063271,1,high
45,Cadder,,55.921009,-4.224601,143,177,0.62,10,12,126777409,https://pleiades.stoa.org/places/126777409,Wilderness Plantation Roman fortlet,,55.9215,-4.2452,43.0,410.0,precise,2000.0,1.2846048403025714,0.0,1.0,0.15,0.0946049046321526,0.5,0.4,0.1,0.5,0.06,0.00946049046321526,0.5694604904632153,0.8780240391976725,0.1053628847037207,0.016613076098606645,2,medium
